id,tipo,subtipo,etapa,desarrollador,nombre,area_m2,unidades,estado,aÃ±o_asignacion,aÃ±o_entrega,propietario,observaciones,Pilar,Cuadrante,Monto Contrato 1,Referencia,Monto Contrato 2,Monto Contrato 3,Nombre2,Tipo 2,Adenda,Monto total,Adenda2,Adenda3,Adenda4,Adenda5,Año de titulación
01-01-01,Institucional,Planta de tratamiento,,CONSTRUCTORA BISONO S.A,Planta de Tratamiento de Aguas Residuales No. 2,34623.98, ,Terminado,1/1/2025,12/15/2025,,,Servicios Básicos,,"$91,200,876.19 ",VBCRD-CCC-LP-PTAR-2024-01,,,Planta de Tratamiento de Aguas Residuales PETAR ESTE. CJB,Mitigación y Consolidación ," 22,794,895.37 "," 113,995,771.56 ",,,,01-01-01,2016
01-01-02,Institucional,terminal de autobus,,,Terminal de Autobuses Omsa,13314.93, ,No Iniciado,,,,,Infraestructura y Movilidad,,  ,,,,,,,,,,,01-01-02,2022
01-01-03,Habitacional,Habitacional,,CONSTRUCTORA BISONO S.A,N/A,27055.42,384,No Iniciado, , ,,Adjudicado recientemente a Constructora Bisonó,Vivienda,,  ,,,,,,,,,,,01-01-03,2022
01-01-04,Habitacional,Habitacional,,CONSTRUCTORA BISONO S.A,Sembrador IX - X,34409.55,504,En Construcción, , ,,Proyecto en proceso de permisologia aprobado recientemente,Vivienda,,  ,,,,,,,,,,,01-01-04,2022
01-01-05,Habitacional,Habitacional,,CONSTRUCTORA BISONO S.A,Sembrador IX - X,34409.55,0,En Construcción, , ,,Proyecto en proceso de permisologia aprobado recientemente,Vivienda,,  ,,,,,,,,,,,01-01-05,2022
01-01-06,Comercial,Comercial,,,,32997.47, ,Disponible,,,, ,Economía,,  ,,,,,,,,,,,01-01-06,2022
01-01-07,Habitacional,Habitacional,,Promotora Pradera Verde,Singular,55781,944,En Construcción, , ,,,Vivienda,,  ,,,,,,,,,,,01-01-07,2022
01-01-08,Institucional,estacion de combustible,, ,Estación de Combustible,11654.43, ,Disponible, , ,, ,Economía,,  ,,,,,,,,,,,01-01-08,2022
01-01-09,Habitacional,Habitacional,,Construcciones Planificadas,Res La Marquesa II,23683.68,328,En Construcción, , ,,,Vivienda,,  ,,,,,,,,,,,01-01-09,2022
01-01-10,Comercial,Comercial,,,,22771.83, ,Disponible,,,, ,Economía,,  ,,,,,,,,,,,01-01-10,2022
01-02-01,Institucional,area verde,,,Plaza Deportiva y Recreativa Etapa 2,2074.88, ,En Construcción,1/1/2023,,,,Medio Ambiente,,  ,,,,,,,,,,,01-02-01,2016
01-02-02,Institucional,Seguridad,,,Destacamento Policial Tipo II,1636.19, ,Terminado,,1/1/2019,,,Seguridad,,  ,,,,,,,,,,,01-02-02,2016
01-02-03,Institucional,Seguridad,,,Estación de Bomberos Tipo I,2493.71, ,Terminado,,1/1/2019,,,Seguridad,,  ,,,,,,,,,,,01-02-03,2016
01-02-04,Habitacional,Habitacional,,RYZEK (Promotora Pradera Verde),Por Definir,80173.71,1176,No Iniciado, , ,,Reasignado a Promotora Pradera Verde(RIZEK),Vivienda,,  ,,,,,,,,,,,01-02-04,2016
01-02-05,Institucional,Pendiente,,,Funeraria CJB,2106.4, ,En Construcción,1/1/2025,4/1/2026,,,Servicios Básicos,,"$64,516,086.54 ",VBCRD-CCC-LP-FUNE-2024-01,,,Funeraria Ciudad Juan Bosch,Equipamiento Urbano,0," 64,516,086.54 ",,,,01-02-05,2016
01-02-06,Institucional,area verde,,,Cisterna de Agua No. 8,2279.93, ,Terminado,,1/1/2023,,alimenta de agua Habitat III y Sembrador II,Medio Ambiente,,  ,,,,,,,,,,,01-02-06,2016
01-02-07,Institucional,Hidrosanitario,,,Cisterna de Agua No. 7,0, ,Terminado,,1/1/2019,,,Servicios Básicos,,  ,,,,,,,,,,,01-02-07,2022
01-02-08,Habitacional,Habitacional,,Consorcio Ingasa-Risek,Habitad III,10000.56,144,En Construcción, , ,,,Vivienda,,  ,,,,,,,,,,,01-02-08,2016
01-02-09,Institucional,Instituto Educativo,,,Tanque de Agua No. 2,8764.62, ,En Construcción,1/1/2024,4/1/2026,,,Educación,,"$389,762,504.90 ",VBCRD-CCC-LP-PED-TAAP-2023-01,,, Deposito Regulador Vitrificado No.3 + Pedestal de Hormigon Armado en CJB. Calle Muchacha de la Guaira,Mitigación y Consolidación ,0," 389,762,504.90 ",,,,01-02-09,2022
01-03-01,Habitacional,Habitacional,,CONSTRUCTORA BISONO S.A,Sembrador III,141828.6,1776,Terminado, ,1/1/2023,,,Vivienda,,  ,,,,,,,,,,,01-03-01,2016
01-03-02,Institucional,Estancia infantil,,,CAIPI II,4099.86, ,Terminado,,1/1/2020,,,Educación,,  ,,,,,,,,,,,01-03-02,2016
01-03-03,Comercial,Comercial,,Adventista lote iglesia,Adventista lote iglesia,3160.08, ,Disponible,,,, ,Economía,,  ,,,,,,,,,,,01-03-03,2016
01-03-04,Comercial,Comercial,,San Remo Valores,Plaza Riu Mall  II,2108.62, ,Disponible,,,, ,Economía,,  ,,,,,,,,,,,01-03-04,2022
02-04-01,Habitacional,Habitacional,,Consorcio Mota-Engil Dominicana,Res. Las Flores,32965.38,504,Terminado, ,1/1/2020,,,Vivienda,,  ,,,,,,,,,,,02-04-01,2022
02-04-02,Habitacional,Habitacional,,CONSTRUCTORA BISONO S.A,Sembrador VII A & B,24233.85,0,Terminado, ,5/1/2025,,,Vivienda,,  ,,,,,,,,,,,02-04-02,2016
02-04-03,Habitacional,Habitacional,,CONSTRUCTORA BISONO S.A,Sembrador VII A & B,24233.85,328,Terminado, ,5/1/2025,,,Vivienda,,  ,,,,,,,,,,,02-04-03,2022
02-05-01,Institucional,Instituto Educativo,,,Politecnico La Mañosa,8363.04, ,En Construcción,1/1/2024,,,,Educación,,  ,,,,,,,,,,,02-05-01,2016
02-05-02,Institucional,Instituto Educativo,, , ,8147.27, ,Disponible, , ,, ,Educación,,  ,,,,,,,,,,,02-05-02,2016
02-05-03,Comercial,Comercial,,Hermanos Maldonados,Dumas Center III,557.89,9,Disponible,,,, ,Economía,,  ,,,,,,,,,,,02-05-03,2016
02-05-04,Institucional,Pendiente,, , ,1787.29, ,Disponible, , ,, ,,,  ,,,,,,,,,,,02-05-04,2016
02-06-01,Institucional,Instalación Deportiva,,,Parque Deportivo Algarrobo No. 22 Etapa 1,65344.7, ,En Construcción,1/1/2023,5/1/2026,,,Deportes y Recreación,,"$159,829,009.23 ",,61078740.85,154798979.1,Complejo Deportivo (Cancha de futbol de salón + Cancha de balonmano + Polideportivo techado (basket/volley/etc) + Play de softball y pequeñas ligas + Pista de ejercitacion y patinaje,Equipamiento Urbano," 39,950,860.16 "," 478,685,242.47 "," 14,933,752.14 "," 38,696,540.66 "," 9,397,360.34 ",02-06-01,2022
02-06-02,Institucional,Instituto Educativo,,,Parque de Educación Vial Infantil,8652.82, ,Terminado,,1/1/2020,,,Infraestructura y Movilidad,,  ,,,,,,,,,,,02-06-02,2016
02-06-03,Institucional,Seguridad,,,Oficinas DIGESETT,1325.77, ,No Iniciado,,,,,Seguridad,,  ,,,,,,,,,,,02-06-03,2022
02-06-04,Institucional,Seguridad,,,DNCD,752.18, ,Terminado,,1/1/2022,,,Seguridad,,  ,,,,,,,,,,,02-06-04,2016
02-06-05,Institucional,Instalación Deportiva,,,Oficina Administrativa Complejo Deportivo,2698.81, ,Disponible,,,,,Deportes y Recreación,,  ,,,,,,,,,,,02-06-05,2022
02-06-06,Institucional,Pendiente,,,Instalación Escolar,5422.58, ,No Iniciado,,,,,Deportes y Recreación,,  ,,,,,,,,,,,02-06-06,2022
02-06-07,Comercial,Comercial,,"Inversiones Reyes Caceres, SRL.",Plaza La Mañosa,1485.96,22,Disponible,,,, ,Economía,,  ,,,,,,,,,,,02-06-07,2022
02-06-08,Comercial,Comercial,,Constructora Nagir Ventura Srl,Plaza Bohío,2371.38,32,Disponible,,,, ,Economía,,  ,,,,,,,,,,,02-06-08,2016
02-06-09,Comercial,Comercial,,,,1689.72, ,Adjudicado,,,, ,Economía,,  ,,,,,,,,,,,02-06-09,2022
02-07-01,Habitacional,Habitacional,,Constructora OV,Res. 1909,31582.53,416,Terminado, ,9/1/2013,,,Vivienda,,  ,,,,,,,,,,,02-07-01,2016
02-07-02,Habitacional,Habitacional,,CONSTRUCTORA BISONO S.A,Sembrador VIII A & B,23527.56,0,Terminado, ,4/1/2025,,,Vivienda,,  ,,,,,,,,,,,02-07-02,2016
02-07-03,Habitacional,Habitacional,,CONSTRUCTORA BISONO S.A,Sembrador VIII A & B,23527.56,328,Terminado, ,5/1/2025,,,Vivienda,,  ,,,,,,,,,,,02-07-03,2022
03-08-01,Habitacional,Habitacional,,CONSTRUCTORA BISONO S.A,Sembrador II,71979.31,936,Terminado, ,4/1/2021,,,Vivienda,,  ,,,,,,,,,,,03-08-01,2016
03-08-02,Habitacional,Habitacional,,CONSTRUCTORA BISONO S.A,Sembrador II,71979.31,0,Terminado, ,4/1/2021,,,Vivienda,,  ,,,,,,,,,,,03-08-02,2016
03-08-03,Comercial,Comercial,,,,2317.26, ,En Construcción,1/1/2025,,,,Economía,,  ,,,,,,,,,,,03-08-03,2016
03-08-04,Comercial,Comercial,,,Adventista lote iglesia,1800.05, ,Disponible,,,, ,Economía,,  ,,,,,,,,,,,03-08-04,2016
03-08-05,Comercial,Comercial,,,Adventista lote iglesia,1534.08, ,Disponible,,,, ,Economía,,  ,,,,,,,,,,,03-08-05,2016
03-09-01,Habitacional,Habitacional,,Consorcio Rio Grande,Res. Rio Grande,29450.42,404,Terminado,,8/1/2021,,,Vivienda,,  ,,,,,,,,,,,03-09-01,2016
03-09-02,Habitacional,Habitacional,,Consorcio Conabesa Bello & Diaz,Res. 5ta Residence,16298.9,240,En Construcción,,,,,Vivienda,,  ,,,,,,,,,,,03-09-02,2016
03-09-03,Habitacional,Habitacional,,Constructora OV,Res. 1933,16088.72,208,Terminado,,11/1/2023,,,Vivienda,,  ,,,,,,,,,,,03-09-03,2016
03-09-04,Habitacional,Habitacional,,Consorcio Pequeño Burgues,Res. Pequeño Burgues,16721.11,248,Terminado,,2/1/2020,,,Vivienda,,  ,,,,,,,,,,,03-09-04,2016
03-09-05,Comercial,Comercial,,Constructora Quezbel,Camino Real Center,1412.79,24,En Construcción,,,, ,Economía,,  ,,,,,,,,,,,03-09-05,2022
03-09-06,Institucional,Centro de Salud,,,Centro de Atención Primaria,2041.14, ,No Iniciado,,,,,Educación,,  ,,,,,,,,,,,03-09-06,2022
03-09-07,Institucional,Instituto Educativo,,,Escuela Primaria Gabriela Mistral,9823, ,Terminado,,1/1/2018,,,Infraestructura y Movilidad,,  ,,,,,,,,,,,03-09-07,2016
03-09-08,Habitacional,Habitacional,,Consorcio Ingasa-Risek,Habitad II,9082.36,128,Terminado, ,5/1/2024,,,Vivienda,,  ,,,,,,,,,,,03-09-08,2016
03-09-09,Institucional,Telecomunicaciones,, , ,2257.3, ,Disponible,,,, ,Servicios Básicos,,  ,,,,,,,,,,,03-09-09,2016
04-11-01,Institucional,Pendiente,,,Lote Institucional,1977.53, ,Disponible,,,,,,,  ,,,,,,,,,,,04-11-01,2022
04-11-02,Institucional,Instituto Educativo,,,Centro Educativo,8656.36, ,No Iniciado,,,,,Educación,,  ,,,,,,,,,,,04-11-02,2022
04-11-03,Institucional,area verde,,,Área Verde No. 17,9146.64, ,No Iniciado,,,,,Medio Ambiente,,  ,,,,,,,,,,,04-11-03,2022
04-11-04,Comercial,Comercial,,,,5121.16, ,Disponible,,,, ,Economía,,  ,,,,,,,,,,,04-11-04,2022
04-11-05,Institucional,Instituto Educativo,,,Centro Educativo,8633.82, ,No Iniciado,,,,,Educación,,  ,,,,,,,,,,,04-11-05,2022
04-11-06,Comercial,Comercial,,,,667.04, ,Adjudicado,,,, ,Economía,,  ,,,,,,,,,,,04-11-06,2022
04-11-07,Institucional,Telecomunicaciones,, , ,412.31, ,Disponible,,,, ,Servicios Básicos,,  ,,,,,,,,,,,04-11-07,2022
04-12-01,Comercial,Comercial,,,,4364.19, ,Adjudicado,,,, ,Economía,,  ,,,,,,,,,,,04-12-01,2022
04-12-02,Institucional,area verde,,,Área Verde No. 18,7258.71, ,No Iniciado,,,,,Medio Ambiente,,  ,,,,,,,,,,,04-12-02,2022
04-12-04,Habitacional,Habitacional,,Grupo Inmobiliario Terrazas GIT,Terrazol I,14201,224,Terminado,,12/5/2025,, ,Vivienda,,  ,,,,,,,,,,,04-12-04,2022
04-12-05,Habitacional,Habitacional,,Constructora OV,Casa Coral,50815.58,752,No Iniciado, , ,,,Vivienda,,  ,,,,,,,,,,,04-12-05,2022
04-13-01,Institucional,area verde,,,Parque Ecológico Río Verde,134483.94, ,En Construcción,1/1/2024,12/1/2026,,,Medio Ambiente,,"$412,999,957.88 ",VBCRD-CCC-LP-PE-2024-01,,,Primera Etapa Parque Ecologico CJB,Equipamiento Urbano,," 412,999,957.88 ",,,,04-13-01,2022
04-13-03,Habitacional,Habitacional,,RJN-Proconstruccion,Terrazol II,44877.4,656,En Construcción, ,,,,Vivienda,,  ,,,,,,,,,,,04-13-03,2022
04-13-04,Institucional,Hidrosanitario,,,Planta de Tratamiento de Aguas No. 3,9188.96, ,En Construcción,1/1/2025,10/1/2026,,,Servicios Básicos,,"$208,673,762.38 ",BVCRD-CCC-LP-PTAR II-2024-01,,,Planta de Tratamiento de Aguas Residuales PETAR II. CJB,Mitigación y Consolidación ,," 208,673,762.38 ",,,,04-13-04,2022
04-15-01,Habitacional,Habitacional,,Consorcio Ingasa-Risek,Por definir,36633.45,600,No Iniciado,,,,,Vivienda,,  ,,,,,,,,,,,04-15-01,2022
04-16-01,Habitacional,Habitacional,,Constructora del Pais CODELPA,Palmera III,23704.06,336,Terminado, ,2/1/2023,,,,,  ,,,,,,,,,,,04-16-01,2016
04-39-01,Habitacional,Habitacional,,Consorcio Conabesa Bello & Diaz,Por definir,22719.85,352,No Iniciado, ,,,Proceso de aprobación de master plan,Vivienda,,  ,,,,,,,,,,,04-39-01,2022
04-39-02,Comercial,Comercial,,,,11310.92, ,Disponible,,,, ,Economía,,  ,,,,,,,,,,,04-39-02,2022
04-40-01,Habitacional,Habitacional,,Servinsco,Residencial Sol del Este,121447.47,1520,No Iniciado,,,,Proceso de aprobación de master plan,Vivienda,,  ,,,,,,,,,,,04-40-01,2022
04-40-02,Comercial,Comercial,,,,30029.1, ,Adjudicado,,,, ,Economía,,  ,,,,,,,,,,,04-40-02,2022
05-17-01,Institucional,Instituto Educativo,,,Liceo Francisco Alberto Caamaño Deño,9321.96, ,Terminado,,1/1/2020,,,Educación,,  ,,,,,,,,,,,05-17-01,2016
05-17-02,Comercial,Comercial,,San Remo Valores,Plaza Riu Mall  I,2167.66,60,Terminado,,4/1/2022,, ,Economía,,  ,,,,,,,,,,,05-17-02,2016
05-17-03,Habitacional,Habitacional,,Estrella,Res. Antares III,38656.58,528,Terminado,,4/1/2022,,,Vivienda,,  ,,,,,,,,,,,05-17-03,2016
05-17-04,Comercial,Comercial,,ARQGE ARQUITECTOS SRL,Bazar Center,1211.98,22,En Construcción,,,, ,Economía,,  ,,,,,,,,,,,05-17-04,2016
05-17-05,Habitacional,Habitacional,,Constructora del Pais CODELPA,Res. Palmera IV,47738.52,656,En Construcción, , ,,,Vivienda,,  ,,,,,,,,,,,05-17-05,2016
05-18-01,Habitacional,Habitacional,,Estrella,Res. Antares II,75736.18,1008,Terminado, ,7/1/2017,,,Vivienda,,  ,,,,,,,,,,,05-18-01,2016
05-18-02,Institucional,area verde,,,Cisterna de Agua,586.35, ,Terminado,,1/1/2021,,Pendiente Remozamiento,Medio Ambiente,,  ,,,,,,,,,,,05-18-02,2016
05-18-03,Institucional,Pendiente,,,Destacamento Militar CJB,599.9, ,En Construcción,1/1/2025,,,,Cultural,,  ,,,,,,,,,,,05-18-03,2016
05-18-04,Institucional,Centro de Salud,,,Centro Integral Para Aldultos Mayores,8446.96, ,Terminado,,1/1/2020,,,Salud,,  ,,,,,,,,,,,05-18-04,2016
05-18-05,Comercial,Comercial,,,,1188.1, ,Disponible,,,, ,Economía,,  ,,,,,,,,,,,05-18-05,2016
05-18-06,Institucional,area verde,,,Parque Deportivo-Recreativo No. 13,1000.25, ,Disponible,,,,Cancha de Tenis,Medio Ambiente,,  ,,,,,,,,,,,05-18-06,2016
05-18-07,Comercial,Comercial,,Construcciones Planificadas,La Marquesa Town Center 1,2145.84,89,Disponible,,,, ,Economía,,  ,,,,,,,,,,,05-18-07,2016
05-18-08,Comercial,Comercial,,Construcciones Planificadas,La Marquesa Town Center 1,2965.55,89,Terminado,,1/1/2022,, ,Economía,,  ,,,,,,,,,,,05-18-08,2016
05-19-01,Habitacional,Habitacional,,CONSTRUCTORA BISONO S.A,Sembrador IV,35073.2,464,Terminado, ,2/1/2019,,,Vivienda,,  ,,,,,,,,,,,05-19-01,2016
05-19-02,Comercial,Comercial,,Construcciones Planificadas,La Marquesa Town Center 2,2562,45,Terminado,,,, ,Economía,,  ,,,,,,,,,,,05-19-02,2016
05-19-03,Institucional,area verde,,,Parque Infantil No. 12,1184.08, ,Terminado,1/1/2025,1/1/2025,,,Recreacion,,"$7,080,690.68 ",VBCRD-CCC-LP-PI2024-01,,,Parque Infantil Ciudad Juan Bosch,Equipamiento Urbano,," 8,832,227.65 ","1,751,536.97",,,05-19-03,2016
05-19-04,Comercial,Comercial,,,Supermercado Olé,12955.31,13,Terminado,,1/1/2017,, ,Economía,,  ,,,,,,,,,,,05-19-04,2016
05-19-05,Comercial,Comercial,,,,8368.46, ,Disponible,,,, ,Economía,,  ,,,,,,,,,,,05-19-05,2016
05-19-06,Comercial,Comercial,,,,11617, ,Disponible,,,, ,Economía,,  ,,,,,,,,,,,05-19-06,2016
05-19-07,Habitacional,Habitacional,,CONSTRUCTORA BISONO S.A,Sembrador V,71506.36,704,Terminado, ,6/1/2020,,,Vivienda,,  ,,,,,,,,,,,05-19-07,2016
05-20-01,Habitacional,Habitacional,,Estrella,Res. Antares I,37793.15,640,Terminado, ,11/1/2017,,,Vivienda,,  ,,,,,,,,,,,05-20-01,2016
05-20-02,Comercial,Comercial,,,Testigo de Jehova,1200.18,1,Terminado,,1/1/2024,, ,Economía,,  ,,,,,,,,,,,05-20-02,2016
05-20-03,Institucional,Centro de Salud,,,Centro de Atención para Personas con Discapacidad,9353.24, ,Terminado,,1/1/2020,,,Salud,,  ,,,,,,,,,,,05-20-03,2016
05-20-04,Institucional,Centro de Salud,,,Hospital Ciudad Juan Bosch,6451.15, ,Terminado,,1/1/2018,,,Salud,,  ,,,,,,,,,,,05-20-04,2016
05-20-07,Institucional,Estancia infantil,,,CAIPI III,3656.77, ,Terminado,,1/1/2024,,,Educación,,  ,,,,,,,,,,,05-20-07,2016
05-20-08,Institucional,Instituto Educativo,,,Escuela Básica Prof. Juan Bosch,11138.23, ,Terminado,,1/1/2017,,,Educación,,  ,,,,,,,,,,,05-20-08,2016
06-25-01,Habitacional,Habitacional,,Constructora del Pais CODELPA,Ciudad Palmera I,29909.38,368,Terminado, ,1/1/2018,,,Vivienda,,  ,,,,,,,,,,,06-25-01,2016
06-25-02,Habitacional,Habitacional,,Constructora del Pais CODELPA,Ciudad Palmera II,30566.21,480,Terminado, ,8/1/2018,,,Vivienda,,  ,,,,,,,,,,,06-25-02,2016
06-25-03,Comercial,Comercial,,Ingenieros CP Arquitectos,Fragata Center,3500.27,37,En Construcción,,,, ,Economía,,  ,,,,,,,,,,,06-25-03,2016
06-25-04,Institucional,Pendiente,,,Lote Institucional,1050.11, ,Disponible,,,,Sin uso destinado,,,  ,,,,,,,,,,,06-25-04,2016
06-26-01,Habitacional,Habitacional,,Consorcio Dos Amigos,Res. Dos Amigos,99884.04,772,En Construcción,, ,,"Proyecto en ejecucion, hasta el momento se levantaron 656 viviendas ",Vivienda,,  ,,,,,,,,,,,06-26-01,2016
